country_code,age,timeliness,prop_final_cov
ALB,126,0.99,
ALB,130,1,
ALB,134,1,
ALB,139,1,
ALB,143,1,
ALB,147,1,
ALB,152,1,
ARM,,,0.989796
ARM,0,0,
ARM,1,0.001734694,
ARM,2,0.003367347,
ARM,3,0.003367347,
ARM,4,0.003367347,
ARM,5,0.00622449,
ARM,6,0.00622449,
ARM,7,0.00622449,
ARM,8,0.00622449,
ARM,9,0.00622449,
ARM,10,0.00744898,
ARM,11,0.00744898,
ARM,12,0.00744898,
ARM,13,0.00744898,
ARM,14,0.00744898,
ARM,15,0.00744898,
ARM,16,0.00744898,
ARM,17,0.00744898,
ARM,18,0.00744898,
ARM,19,0.00744898,
ARM,20,0.00744898,
ARM,21,0.00744898,
ARM,22,0.00744898,
ARM,23,0.00744898,
ARM,24,0.00744898,
ARM,25,0.00744898,
ARM,26,0.00744898,
ARM,27,0.00744898,
ARM,28,0.00744898,
ARM,29,0.00744898,
ARM,30,0.00744898,
ARM,31,0.00744898,
ARM,32,0.00744898,
ARM,33,0.00744898,
ARM,34,0.00744898,
ARM,35,0.012244898,
ARM,36,0.012244898,
ARM,37,0.031632653,
ARM,38,0.031632653,
ARM,39,0.031632653,
ARM,40,0.031632653,
ARM,41,0.031632653,
ARM,42,0.031632653,
ARM,43,0.031632653,
ARM,44,0.034693878,
ARM,45,0.034693878,
ARM,46,0.034693878,
ARM,47,0.034693878,
ARM,48,0.035714286,
ARM,49,0.035714286,
ARM,50,0.036734694,
ARM,51,0.037755102,
ARM,52,0.089795918,
ARM,56,0.724489796,
ARM,61,0.846938776,
ARM,65,0.87755102,
ARM,69,0.948979592,
ARM,74,0.959183673,
ARM,78,0.959183673,
ARM,82,0.969387755,
ARM,87,0.969387755,
ARM,91,0.969387755,
ARM,95,0.989795918,
ARM,100,0.989795918,
ARM,104,0.989795918,
ARM,108,0.989795918,
ARM,113,1,
ARM,117,1,
ARM,121,1,
ARM,126,1,
ARM,130,1,
ARM,134,1,
ARM,139,1,
ARM,143,1,
ARM,147,1,
ARM,152,1,
AZE,,,0.946667
AZE,0,0,
AZE,1,0.0092,
AZE,2,0.0116,
AZE,3,0.012533333,
AZE,4,0.012533333,
AZE,5,0.012533333,
AZE,6,0.012533333,
AZE,7,0.017333333,
AZE,8,0.017333333,
AZE,9,0.022666667,
AZE,10,0.026666667,
AZE,11,0.028,
AZE,12,0.028,
AZE,13,0.029333333,
AZE,14,0.030666667,
AZE,15,0.036,
AZE,16,0.036,
AZE,17,0.036,
AZE,18,0.038666667,
AZE,19,0.038666667,
AZE,20,0.04,
AZE,21,0.056,
AZE,22,0.056,
AZE,23,0.056,
AZE,24,0.056,
AZE,25,0.056,
AZE,26,0.056,
AZE,27,0.056,
AZE,28,0.056,
AZE,29,0.057333333,
AZE,30,0.057333333,
AZE,31,0.057333333,
AZE,32,0.057333333,
AZE,33,0.057333333,
AZE,34,0.058666667,
AZE,35,0.06,
AZE,36,0.06,
AZE,37,0.06,
AZE,38,0.06,
AZE,39,0.06,
AZE,40,0.06,
AZE,41,0.061333333,
AZE,42,0.061333333,
AZE,43,0.061333333,
AZE,44,0.062666667,
AZE,45,0.069333333,
AZE,46,0.069333333,
AZE,47,0.069333333,
AZE,48,0.076,
AZE,49,0.082666667,
AZE,50,0.092,
AZE,51,0.113333333,
AZE,52,0.24,
AZE,56,0.666666667,
AZE,61,0.773333333,
AZE,65,0.813333333,
AZE,69,0.84,
AZE,74,0.866666667,
AZE,78,0.88,
AZE,82,0.906666667,
AZE,87,0.906666667,
AZE,91,0.92,
AZE,95,0.92,
AZE,100,0.92,
AZE,104,0.946666667,
AZE,108,0.973333333,
AZE,113,0.986666667,
AZE,117,0.986666667,
AZE,121,1,
AZE,126,1,
AZE,130,1,
AZE,134,1,
AZE,139,1,
AZE,143,1,
AZE,147,1,
AZE,152,1,
BDI,,,0.927083
BDI,0,0,
BDI,1,0,
BDI,2,0,
BDI,3,0,
BDI,4,0,
BDI,5,0,
BDI,6,0,
BDI,7,0,
BDI,8,0,
BDI,9,0,
BDI,10,0,
BDI,11,0,
BDI,12,0,
BDI,13,0,
BDI,14,0,
BDI,15,0,
BDI,16,0,
BDI,17,0,
BDI,18,0,
BDI,19,0,
BDI,20,0,
BDI,21,0,
BDI,22,0.0004375,
BDI,23,0.001979167,
BDI,24,0.001979167,
BDI,25,0.002604167,
BDI,26,0.005,
BDI,27,0.007291667,
BDI,28,0.0075,
BDI,29,0.0090625,
BDI,30,0.009479167,
BDI,31,0.011458333,
BDI,32,0.016666667,
BDI,33,0.01875,
BDI,34,0.019791667,
BDI,35,0.027083333,
BDI,36,0.040625,
BDI,37,0.055208333,
BDI,38,0.066666667,
BDI,39,0.1,
BDI,40,0.34375,
BDI,41,0.479166667,
BDI,42,0.583333333,
BDI,43,0.666666667,
BDI,44,0.729166667,
BDI,45,0.78125,
BDI,46,0.8125,
BDI,47,0.833333333,
BDI,48,0.854166667,
BDI,49,0.885416667,
BDI,50,0.90625,
BDI,51,0.927083333,
BDI,52,0.927083333,
BDI,56,0.958333333,
BDI,61,0.96875,
BDI,65,0.96875,
BDI,69,0.979166667,
BDI,74,0.979166667,
BDI,78,0.979166667,
BDI,82,0.989583333,
BDI,87,0.989583333,
BDI,91,0.989583333,
BDI,95,1,
BDI,100,1,
BDI,104,1,
BDI,108,1,
BDI,113,1,
BDI,117,1,
BDI,121,1,
BDI,126,1,
BDI,130,1,
BDI,134,1,
BDI,139,1,
BDI,143,1,
BDI,147,1,
BDI,152,1,
BEN,,,0.811594
BEN,0,0,
BEN,1,0.00015942,
BEN,2,0.00026087,
BEN,3,0.008985507,
BEN,4,0.009565217,
BEN,5,0.009710145,
BEN,6,0.009710145,
BEN,7,0.009710145,
BEN,8,0.01057971,
BEN,9,0.010724638,
BEN,10,0.010724638,
BEN,11,0.010724638,
BEN,12,0.010724638,
BEN,13,0.010724638,
BEN,14,0.011014493,
BEN,15,0.011304348,
BEN,16,0.011594203,
BEN,17,0.012173913,
BEN,18,0.012753623,
BEN,19,0.014057971,
BEN,20,0.014492754,
BEN,21,0.014492754,
BEN,22,0.015942029,
BEN,23,0.015942029,
BEN,24,0.02173913,
BEN,25,0.02173913,
BEN,26,0.023188406,
BEN,27,0.023188406,
BEN,28,0.023188406,
BEN,29,0.024637681,
BEN,30,0.026086957,
BEN,31,0.033333333,
BEN,32,0.036231884,
BEN,33,0.036231884,
BEN,34,0.037681159,
BEN,35,0.04057971,
BEN,36,0.044927536,
BEN,37,0.052173913,
BEN,38,0.063768116,
BEN,39,0.088405797,
BEN,40,0.333333333,
BEN,41,0.434782609,
BEN,42,0.52173913,
BEN,43,0.594202899,
BEN,44,0.637681159,
BEN,45,0.68115942,
BEN,46,0.710144928,
BEN,47,0.739130435,
BEN,48,0.753623188,
BEN,49,0.768115942,
BEN,50,0.782608696,
BEN,51,0.797101449,
BEN,52,0.811594203,
BEN,56,0.855072464,
BEN,61,0.884057971,
BEN,65,0.898550725,
BEN,69,0.913043478,
BEN,74,0.927536232,
BEN,78,0.942028986,
BEN,82,0.956521739,
BEN,87,0.956521739,
BEN,91,0.956521739,
BEN,95,0.971014493,
BEN,100,0.971014493,
BEN,104,0.971014493,
BEN,108,0.971014493,
BEN,113,0.971014493,
BEN,117,0.971014493,
BEN,121,0.971014493,
BEN,126,0.971014493,
BEN,130,0.985507246,
BEN,134,0.985507246,
BEN,139,0.985507246,
BEN,143,1,
BEN,147,1,
BEN,152,1,
BFA,,,0.943182
BFA,0,0,
BFA,1,0.000136364,
BFA,2,0.000136364,
BFA,3,0.000136364,
BFA,4,0.000136364,
BFA,5,0.000136364,
BFA,6,0.000136364,
BFA,7,0.000136364,
BFA,8,0.000136364,
BFA,9,0.000136364,
BFA,10,0.000806818,
BFA,11,0.000806818,
BFA,12,0.000806818,
BFA,13,0.000806818,
BFA,14,0.000806818,
BFA,15,0.000806818,
BFA,16,0.000806818,
BFA,17,0.001136364,
BFA,18,0.001136364,
BFA,19,0.001136364,
BFA,20,0.0025,
BFA,21,0.002727273,
BFA,22,0.003522727,
BFA,23,0.00375,
BFA,24,0.004090909,
BFA,25,0.004772727,
BFA,26,0.007954545,
BFA,27,0.009090909,
BFA,28,0.010227273,
BFA,29,0.011136364,
BFA,30,0.0125,
BFA,31,0.014772727,
BFA,32,0.017045455,
BFA,33,0.020454545,
BFA,34,0.027272727,
BFA,35,0.036363636,
BFA,36,0.045454545,
BFA,37,0.071590909,
BFA,38,0.125,
BFA,39,0.227272727,
BFA,40,0.409090909,
BFA,41,0.545454545,
BFA,42,0.670454545,
BFA,43,0.738636364,
BFA,44,0.795454545,
BFA,45,0.829545455,
BFA,46,0.863636364,
BFA,47,0.886363636,
BFA,48,0.897727273,
BFA,49,0.920454545,
BFA,50,0.931818182,
BFA,51,0.931818182,
BFA,52,0.943181818,
BFA,56,0.965909091,
BFA,61,0.965909091,
BFA,65,0.977272727,
BFA,69,0.977272727,
BFA,74,0.988636364,
BFA,78,0.988636364,
BFA,82,0.988636364,
BFA,87,0.988636364,
BFA,91,0.988636364,
BFA,95,1,
BFA,100,1,
BFA,104,1,
BFA,108,1,
BFA,113,1,
BFA,117,1,
BFA,121,1,
BFA,126,1,
BFA,130,1,
BFA,134,1,
BFA,139,1,
BFA,143,1,
BFA,147,1,
BFA,152,1,
BGD,,,0.955056
BGD,0,0,
BGD,1,0.000449438,
BGD,2,0.000449438,
BGD,3,0.000449438,
BGD,4,0.000449438,
BGD,5,0.000449438,
BGD,6,0.000449438,
BGD,7,0.00111236,
BGD,8,0.001123596,
BGD,9,0.001123596,
BGD,10,0.001123596,
BGD,11,0.001123596,
BGD,12,0.001123596,
BGD,13,0.001123596,
BGD,14,0.001348315,
BGD,15,0.001348315,
BGD,16,0.001348315,
BGD,17,0.001910112,
BGD,18,0.001910112,
BGD,19,0.002134831,
BGD,20,0.002247191,
BGD,21,0.002247191,
BGD,22,0.002696629,
BGD,23,0.003146067,
BGD,24,0.003707865,
BGD,25,0.003707865,
BGD,26,0.003707865,
BGD,27,0.003932584,
BGD,28,0.003932584,
BGD,29,0.003932584,
BGD,30,0.004382022,
BGD,31,0.004382022,
BGD,32,0.005168539,
BGD,33,0.005617978,
BGD,34,0.005842697,
BGD,35,0.010449438,
BGD,36,0.016853933,
BGD,37,0.02247191,
BGD,38,0.025842697,
BGD,39,0.112359551,
BGD,40,0.280898876,
BGD,41,0.426966292,
BGD,42,0.573033708,
BGD,43,0.696629213,
BGD,44,0.764044944,
BGD,45,0.831460674,
BGD,46,0.865168539,
BGD,47,0.898876404,
BGD,48,0.91011236,
BGD,49,0.93258427,
BGD,50,0.943820225,
BGD,51,0.95505618,
BGD,52,0.95505618,
BGD,56,0.966292135,
BGD,61,0.97752809,
BGD,65,0.988764045,
BGD,69,0.988764045,
BGD,74,0.988764045,
BGD,78,0.988764045,
BGD,82,0.988764045,
BGD,87,0.988764045,
BGD,91,0.988764045,
BGD,95,0.988764045,
BGD,100,0.988764045,
BGD,104,0.988764045,
BGD,108,1,
BGD,113,1,
BGD,117,1,
BGD,121,1,
BGD,126,1,
BGD,130,1,
BGD,134,1,
BGD,139,1,
BGD,143,1,
BGD,147,1,
BGD,152,1,
BIH,,,0.978495
BIH,0,0,
BIH,1,0.048387097,
BIH,2,0.048387097,
BIH,3,0.139784946,
BIH,4,0.139784946,
BIH,5,0.150537634,
BIH,6,0.150537634,
BIH,7,0.150537634,
BIH,8,0.150537634,
BIH,9,0.150537634,
BIH,10,0.150537634,
BIH,11,0.150537634,
BIH,12,0.150537634,
BIH,13,0.150537634,
BIH,14,0.150537634,
BIH,15,0.150537634,
BIH,16,0.150537634,
BIH,17,0.150537634,
BIH,18,0.150537634,
BIH,19,0.150537634,
BIH,20,0.204301075,
BIH,21,0.204301075,
BIH,22,0.204301075,
BIH,23,0.204301075,
BIH,24,0.204301075,
BIH,25,0.204301075,
BIH,26,0.204301075,
BIH,27,0.204301075,
BIH,28,0.204301075,
BIH,29,0.204301075,
BIH,30,0.204301075,
BIH,31,0.204301075,
BIH,32,0.204301075,
BIH,33,0.204301075,
BIH,34,0.204301075,
BIH,35,0.204301075,
BIH,36,0.204301075,
BIH,37,0.204301075,
BIH,38,0.204301075,
BIH,39,0.204301075,
BIH,40,0.204301075,
BIH,41,0.204301075,
BIH,42,0.204301075,
BIH,43,0.204301075,
BIH,44,0.204301075,
BIH,45,0.204301075,
BIH,46,0.204301075,
BIH,47,0.215053763,
BIH,48,0.215053763,
BIH,49,0.215053763,
BIH,50,0.215053763,
BIH,51,0.215053763,
BIH,52,0.215053763,
BIH,56,0.602150538,
BIH,61,0.76344086,
BIH,65,0.838709677,
BIH,69,0.892473118,
BIH,74,0.913978495,
BIH,78,0.924731183,
BIH,82,0.935483871,
BIH,87,0.946236559,
BIH,91,0.967741935,
BIH,95,0.967741935,
BIH,100,0.978494624,
BIH,104,0.978494624,
BIH,108,0.989247312,
BIH,113,0.989247312,
BIH,117,0.989247312,
BIH,121,0.989247312,
BIH,126,0.989247312,
BIH,130,0.989247312,
BIH,134,1,
BIH,139,1,
BIH,143,1,
BIH,147,1,
BIH,152,1,
BLZ,,,0.944444
BLZ,0,0,
BLZ,1,0.1,
BLZ,2,0.105555556,
BLZ,3,0.107777778,
BLZ,4,0.107777778,
BLZ,5,0.133333333,
BLZ,6,0.133333333,
BLZ,7,0.133333333,
BLZ,8,0.144444444,
BLZ,9,0.144444444,
BLZ,10,0.144444444,
BLZ,11,0.144444444,
BLZ,12,0.144444444,
BLZ,13,0.144444444,
BLZ,14,0.144444444,
BLZ,15,0.144444444,
BLZ,16,0.144444444,
BLZ,17,0.144444444,
BLZ,18,0.144444444,
BLZ,19,0.222222222,
BLZ,20,0.222222222,
BLZ,21,0.222222222,
BLZ,22,0.222222222,
BLZ,23,0.222222222,
BLZ,24,0.222222222,
BLZ,25,0.222222222,
BLZ,26,0.233333333,
BLZ,27,0.233333333,
BLZ,28,0.233333333,
BLZ,29,0.233333333,
BLZ,30,0.233333333,
BLZ,31,0.233333333,
BLZ,32,0.233333333,
BLZ,33,0.233333333,
BLZ,34,0.233333333,
BLZ,35,0.233333333,
BLZ,36,0.233333333,
BLZ,37,0.233333333,
BLZ,38,0.233333333,
BLZ,39,0.233333333,
BLZ,40,0.244444444,
BLZ,41,0.244444444,
BLZ,42,0.244444444,
BLZ,43,0.244444444,
BLZ,44,0.244444444,
BLZ,45,0.244444444,
BLZ,46,0.255555556,
BLZ,47,0.255555556,
BLZ,48,0.255555556,
BLZ,49,0.255555556,
BLZ,50,0.255555556,
BLZ,51,0.266666667,
BLZ,52,0.311111111,
BLZ,56,0.733333333,
BLZ,61,0.844444444,
BLZ,65,0.888888889,
BLZ,69,0.911111111,
BLZ,74,0.922222222,
BLZ,78,0.922222222,
BLZ,82,0.933333333,
BLZ,87,0.933333333,
BLZ,91,0.933333333,
BLZ,95,0.944444444,
BLZ,100,0.944444444,
BLZ,104,0.944444444,
BLZ,108,0.955555556,
BLZ,113,0.966666667,
BLZ,117,0.988888889,
BLZ,121,0.988888889,
BLZ,126,0.988888889,
BLZ,130,1,
BLZ,134,1,
BLZ,139,1,
BLZ,143,1,
BLZ,147,1,
BLZ,152,1,
BOL,,,0.956522
BOL,0,0,
BOL,1,0.004891304,
BOL,2,0.005,
BOL,3,0.005434783,
BOL,4,0.005434783,
BOL,5,0.005434783,
BOL,6,0.005869565,
BOL,7,0.005869565,
BOL,8,0.005869565,
BOL,9,0.005978261,
BOL,10,0.006630435,
BOL,11,0.006630435,
BOL,12,0.006630435,
BOL,13,0.006630435,
BOL,14,0.006630435,
BOL,15,0.006630435,
BOL,16,0.007173913,
BOL,17,0.007173913,
BOL,18,0.007173913,
BOL,19,0.007173913,
BOL,20,0.007173913,
BOL,21,0.007173913,
BOL,22,0.007173913,
BOL,23,0.007173913,
BOL,24,0.007391304,
BOL,25,0.007391304,
BOL,26,0.007391304,
BOL,27,0.009565217,
BOL,28,0.009565217,
BOL,29,0.009565217,
BOL,30,0.01,
BOL,31,0.010217391,
BOL,32,0.010217391,
BOL,33,0.010217391,
BOL,34,0.010217391,
BOL,35,0.01076087,
BOL,36,0.01076087,
BOL,37,0.01076087,
BOL,38,0.011956522,
BOL,39,0.013043478,
BOL,40,0.014130435,
BOL,41,0.014130435,
BOL,42,0.014130435,
BOL,43,0.015217391,
BOL,44,0.015217391,
BOL,45,0.016304348,
BOL,46,0.017391304,
BOL,47,0.018478261,
BOL,48,0.020652174,
BOL,49,0.022826087,
BOL,50,0.025,
BOL,51,0.033695652,
BOL,52,0.095652174,
BOL,56,0.554347826,
BOL,61,0.695652174,
BOL,65,0.77173913,
BOL,69,0.826086957,
BOL,74,0.858695652,
BOL,78,0.880434783,
BOL,82,0.891304348,
BOL,87,0.902173913,
BOL,91,0.913043478,
BOL,95,0.934782609,
BOL,100,0.945652174,
BOL,104,0.956521739,
BOL,108,0.956521739,
BOL,113,0.967391304,
BOL,117,0.967391304,
BOL,121,0.97826087,
BOL,126,0.97826087,
BOL,130,0.97826087,
BOL,134,0.989130435,
BOL,139,0.989130435,
BOL,143,0.989130435,
BOL,147,1,
BOL,152,1,
BTN,,,0.911701
BTN,0,0,
BTN,1,0.00026886,
BTN,2,0.00026886,
BTN,3,0.000460244,
BTN,4,0.000473471,
BTN,5,0.000652836,
BTN,6,0.000742783,
BTN,7,0.001016667,
BTN,8,0.001232053,
BTN,9,0.001523436,
BTN,10,0.003110737,
BTN,11,0.003639838,
BTN,12,0.003745658,
BTN,13,0.004263421,
BTN,14,0.004561305,
BTN,15,0.004772945,
BTN,16,0.005037496,
BTN,17,0.005330582,
BTN,18,0.005859682,
BTN,19,0.006686667,
BTN,20,0.007154959,
BTN,21,0.007517771,
BTN,22,0.008196684,
BTN,23,0.008875598,
BTN,24,0.009659991,
BTN,25,0.010291133,
BTN,26,0.010291133,
BTN,27,0.012799901,
BTN,28,0.014878511,
BTN,29,0.016616984,
BTN,30,0.019336713,
BTN,31,0.022095595,
BTN,32,0.024285205,
BTN,33,0.026362455,
BTN,34,0.028364799,
BTN,35,0.034435527,
BTN,36,0.044431281,
BTN,37,0.053673554,
BTN,38,0.06602164,
BTN,39,0.113492488,
BTN,40,0.29091187,
BTN,41,0.434461175,
BTN,42,0.553823027,
BTN,43,0.658891522,
BTN,44,0.735029343,
BTN,45,0.781688705,
BTN,46,0.815600397,
BTN,47,0.844221084,
BTN,48,0.865351134,
BTN,49,0.881534137,
BTN,50,0.893971821,
BTN,51,0.903008145,
BTN,52,0.91170051,
BTN,56,0.9294292,
BTN,61,0.941866884,
BTN,65,0.950903208,
BTN,69,0.959595574,
BTN,74,0.959595574,
BTN,78,0.964886579,
BTN,82,0.964886579,
BTN,87,0.973578945,
BTN,91,0.973578945,
BTN,95,0.97886995,
BTN,100,0.982271311,
BTN,104,0.987562316,
BTN,108,0.991307634,
BTN,113,0.991307634,
BTN,117,0.991307634,
BTN,121,0.991307634,
BTN,126,1,
